Sample File,C:\Users\Marduk\Documents\SMPS_data\r20160727_SMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Diameter
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
Date,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16
Start Time,10:55:47,10:57:51,10:59:51,11:01:51,11:10:07,11:12:10,11:14:10,11:16:10,11:18:10,11:20:10,11:22:10,11:24:10,11:26:10,11:28:10,11:30:10,11:32:10,11:34:10,11:36:10,11:38:10,11:40:10,11:42:10,11:44:10,11:46:10,11:48:10,11:50:10,11:52:10,11:54:10,11:56:10,11:58:11,12:00:11,12:02:11,12:04:11,12:06:11,12:08:11,12:10:11,12:12:11,12:14:11,12:16:11,12:18:11,12:20:11,12:22:11,12:24:11,12:26:11,12:28:11,12:30:11,12:32:11,12:34:11,12:36:11,12:38:11,12:40:11,12:42:11,12:44:11,12:46:11,12:48:11,12:50:11,12:52:11,12:54:11,12:56:11,12:58:11,13:00:11,13:02:11,13:04:11,13:06:11,13:08:11,13:10:11,13:12:11,13:14:11,13:16:11,13:18:11,13:20:11,13:22:11,13:24:11,13:26:11,13:28:11,13:30:11,13:32:11,13:34:11,13:36:11,13:38:11,13:40:11,13:42:11,13:44:11,13:46:11,13:48:11,13:50:11,13:52:11,13:54:11,13:56:11,13:58:11,14:00:11,14:07:49,14:15:23,14:17:27,14:19:27,14:21:27,14:23:27,14:32:14,14:34:18,14:36:18,14:38:18,14:40:18,14:42:18,14:44:18,14:46:18,14:48:18,14:50:18,14:52:18,14:54:18,14:56:18,14:58:18,15:00:18,15:02:18,15:04:18,15:06:18,15:08:18,15:10:18,15:12:18,15:14:18,15:16:18,15:18:18,15:20:18,15:22:18
Diameter Midpoint
6.61,0,0,0.00306833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306833,0,0,0,0,0,0.00306833,0.00306833,0,0,0,0,0.0151466,12.4957,0.482158,0.0960498,0,0,0.0596316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274199,0,0,0,0,0,0
6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00600991,0,0,0,0,0,0.0182208,11.9784,0.460925,0.0858191,0,0,0.0242307,0,0,0,0.00110725,0.00300495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272356,0,0,0,0,0,0
7.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293746,0,0,0,0.00293746,0,0,0,0,0,0,0,0.0117499,11.9459,0.452124,0.0911361,0,0.00293746,0.0176248,0,0,0,0.00185509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164379,0,0,0,0,0,0
7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207844,11.4831,0.439438,0.0935118,0,0.00287682,0.00863045,0,0,0.00287682,0,0,0.000646718,0,0,0,0,0,0,0,0,0,0,0,0,0.0248237,0,0,0,0,0,0
7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281965,0,0,0,0,0,0.00281965,0,0,0,0.00281965,0,0,0,0.00281965,0.00782508,11.3449,0.388457,0.101641,0.00281965,0.00281965,0.0140982,0,0.00281965,0.00281965,0.00281965,0,0.00218578,0,0,0,0,0,0,0,0,0,0,0,0,0.0106447,0,0,0,0,0,0
7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850099,11.0888,0.356377,0.0758809,0.00276901,0,0.019577,0.00830703,0,0,0,0.00276901,0,0,0,0,0,0,0.00276901,0,0,0,0,0,0,0,0,0,0,0,0,0
8.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272426,0,0,0,0,0.0363638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133008,0.00272426,0,0,0,0,0,0,0,0.00272426,0,0.00133008,0,0,0,0.0107062,11.1573,0.372255,0.0943309,0,0.00272426,0.00525769,0,0.00544852,0.00272426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
