Sample File,C:\Users\Marduk\Documents\SMPS_data\r20161122_SMPS.6.7.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Diameter Midpoint, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,763.5,791.5,820.5,850.5,881.7,914.0,947.5,982.2,Scan Up Time(s),Retrace Time(s),Down Scan First,Scans Per Sample,Impactor Type(cm),Sheath Flow(lpm),Aerosol Flow(lpm),CPC Inlet Flow(lpm),CPC Sample Flow(lpm),Low Voltage,High Voltage,Lower Size(nm),Upper Size(nm),Density(g/cc),Title,Status Flag,td(s),tf(s),D50(nm),Median(nm),Mean(nm),Geo. Mean(nm),Mode(nm),Geo. Std. Dev.,Total Conc.(#/cm³),Comment
1,11/22/16,15:20:48,,938.332,1581.72,1219.21,1795.38,1216.89,1670.14,908.874,1653.72,1204.76,1542,1062.09,1578.25,1417.09,937.558,934.329,982.65,918.046,847.585,1054.99,795.154,669.585,603.021,365.651,595.591,335.245,622.614,510.351,411.058,503.221,653.754,463.077,256.258,435.929,304.078,223.129,396.607,573.772,427.583,443.949,713.704,699.859,718.97,791.228,582.245,589.127,757.863,529.534,414.132,523.6,588.842,506.472,488.267,448.271,365.293,214.056,221.647,209.387,200.561,240.975,150.333,121.618,205.711,41.536,41.9378,99.0194,92.4482,43.1922,35.2483,158.438,27.7519,45.4738,68.9371,23.3549,32.5377,39.1244,41.4185,32.3958,43.7619,57.8052,0,74.5428,85.7871,27.3965,0,0,28.8835,29.4849,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2502,37.9179,0,38.9643,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,40.5183,66.2331,50.149,24.1442,1.97913,697.18,
2,11/22/16,15:23:20,,374.1,234.678,254.937,422.669,372.819,541.616,657.469,897.744,1084.25,1140.01,2270.38,2956.88,3773.34,4011.43,5962.3,7037.88,8397.41,8887.17,10476.6,10377.1,11189.2,10849.6,11132.6,11353.3,11483.8,12465,13465.2,13532.8,13382.1,13538.4,12033.2,13046.1,12633.6,12430.9,11865.7,10368.3,9856.38,8919,8783.37,8772.04,7509.97,6673.7,5961.8,6477.78,5382.13,4599.49,4346.77,4027.12,3806.65,3364.72,2943.85,2657.52,2283.59,1975.83,1715.14,1056.91,896.159,1067.04,857.159,664.305,653.121,536.891,378.63,648.343,405.394,532.687,304.753,158.555,247.044,184.418,155.336,250.956,183.238,98.3458,198.29,114.677,57.2414,68.8984,134.571,26.0575,74.5428,32.0317,27.3965,27.9361,28.3065,0,0,29.8987,0,0,94.3425,0,0,33.1684,33.9668,22.9124,11.7996,71.3646,0,52.5938,20.9808,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,61.8646,70.9645,64.1694,61.5265,1.5278,5865.59,
3,11/22/16,15:25:50,,5552.5,3805.57,3505.62,4527.48,4050.57,3430.33,3077.63,3346.82,2465.44,2951.96,2992.39,2224.08,3246.07,2238.04,3058.17,2966.59,3385.34,2901.67,3136.8,2662.19,2172.48,2147.37,2231.01,2003.42,1655.63,1281.28,926.182,1031.69,1122.16,1176.39,993.093,1813.07,1262.43,1443.46,1531.33,1619.77,1454.02,1825.09,1532.77,2042.46,1788.61,1430.21,1524.56,1411.11,1702.77,1540.82,1511.95,1164.68,1524.22,1117.2,1298.22,1047.44,751.035,707.441,653.361,673.093,711.38,513.021,463.356,535.484,654.002,351.446,316.309,85.9492,231.621,184.896,151.173,70.4966,233.586,206.799,151.514,99.6417,70.0647,166.205,96.0333,0,74.5368,125.682,25.5886,52.115,53.0886,0,38.6606,100.258,28.3065,0,0,0,30.5443,0,0,9.06599,23.4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,41.408,61.8417,48.9025,21.6739,1.90589,1913.93,
4,11/22/16,15:28:20,,4498.45,3279.78,3484.72,2821.07,3031.59,3338.62,3323.12,2624.71,2315.75,1637.37,1841.23,1488.99,1436.77,1130.08,905.509,1178.38,729.001,932.806,870.896,648.319,452.209,777.214,735.122,711.542,873.925,826.311,878.945,805.314,1328.49,1152.73,1187.06,1211.22,1283.6,1340.43,1253.58,1005.16,1240.84,1066.4,1098.8,1061.4,668.787,768.459,831.171,866.079,701.898,400.689,597.425,367.245,522.524,376.649,370.406,252.463,278.126,454.126,402.914,130.657,173.103,180.554,160.464,98.745,179.961,199.148,103.84,172.091,158.158,113.831,64.7883,87.7074,66.4545,108.202,26.4987,63.2605,89.818,33.2705,0,48.8393,24.8456,43.7619,6.62805,78.1726,53.0886,0,27.3965,0,0,0,9.09094,20.6802,0,30.9892,31.4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,35.0935,55.3576,43.8908,21.6739,1.8771,1128.94,
5,11/22/16,15:30:49,,2384.4,2378.26,2246.6,1929.02,1887.92,1894.69,1434.1,1244.64,1402.37,1564.16,1222.99,958.763,1199.57,971.947,878.511,931.454,786.569,662.937,779.021,951.68,1040.82,1237.31,1181.76,1494.92,1067.22,1630.21,1398.46,1540.45,1517.97,1256.63,1203.98,948.187,1045.95,1184.17,1123.04,897.847,1121.78,1030.6,1320.27,1234.24,1216.04,1386.31,1143.64,1306.32,1162.37,1233.82,1112.46,1223.51,909.048,992.456,1241.41,886.055,838.705,510.031,572.797,435.169,374.306,412.494,222.121,182.564,258.779,256.038,261.117,112.025,77.8456,156.597,64.7883,87.7074,44.303,111.905,87.1256,44.1443,52.4793,23.7435,121.7,47.1527,49.6912,0,25.5886,0,0,0,0,0,0,0,0,0,2.54005,59.4013,31.4475,0,0,18.385,49.106,0,0,0,0,0,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,54.8718,69.3677,55.6291,21.6739,1.91607,1118.6,
6,11/22/16,15:33:18,,262.173,185.249,189.793,362.568,290.727,209.313,258.832,449.288,229.939,600.374,592.165,476.717,367.493,446.878,586.392,395.25,420.295,520.504,534.142,645.458,842.043,496.5,587.009,555.062,452.673,527.031,426.204,300.531,353.701,478.855,387.929,559.479,512.857,502.503,287.012,409.638,436.102,512.99,499.552,226.073,277.858,539.128,322.491,156.063,349.313,321.615,230.516,166.497,335.983,294.347,207.38,341.031,263.45,223.68,210.526,134.197,147.604,154.368,180.657,67.7037,122.858,165.148,186.327,167.751,99.0194,72.482,49.8915,101.38,44.303,22.3809,45.4738,68.9371,23.3549,56.2812,63.1327,0,49.6912,0,80.9059,21.8413,0,0,27.3965,27.9361,0,0,0,29.8987,0,0,0,0,32.6581,0,0,0,35.0913,35.6823,0,0,0,0,0,0,0,0,40.4531,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,56.7637,81.3419,62.9191,44.5079,1.93343,374.562,
7,11/22/16,15:35:48,,689.692,871.563,1382.05,1412.69,2023.33,2489.35,2622.03,3506.76,2817.29,2944.7,3342.4,3870.36,4239.95,3863.89,3000.26,3030.28,3488.8,3150.24,3063.66,2682.88,2027.35,2631.49,2458.43,1933.32,1961.22,1670.12,1615.81,1865.19,1901.29,1717.67,1720.72,1640.95,1787.04,1609.69,1983.15,1435.88,1759.51,1316.31,1504.01,1356.39,1173.77,1034.49,952.24,1110.22,925.832,907.735,1135.58,1091.96,673.975,643.328,998.174,705.052,887.253,720.731,769.761,470.224,635.261,412.987,530.492,365.39,510.146,270.932,309.765,440.347,113.344,164.93,157.872,167.16,221.515,156.666,113.685,132.198,75.8342,127.512,160.824,71.5724,149.074,50.2729,102.354,78.1726,0,81.6326,53.7741,55.8722,10.4058,18.2656,0,59.7975,30.5443,30.9892,18.2673,45.6438,30.6716,68.3542,4.37103,30.0776,0,129.213,121.581,36.6058,37.2502,0,114.778,0,0,79.386,40.4531,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,44.5984,68.5111,52.6876,33.3762,1.88262,1737.57,
8,11/22/16,15:38:17,,926.806,1004.32,1224.02,1029.95,883.419,983.754,1286.31,1034.57,1373.81,1289.12,1218.75,1203.3,1451.42,1363.09,1976.37,1130.77,1230.31,1489.68,1467.37,1609.02,1868.06,1456.57,887.316,905.624,1062.49,1128.21,1087.14,1165.76,972.64,1280.88,876.353,1116.35,849.207,563.993,863.805,955.917,780.249,900.202,620.337,765.977,911.635,591.021,794.42,863.426,535.816,780.591,638.576,553.328,577.081,638.556,633.242,502.375,512.224,453.851,350.636,537.84,444.843,286.274,383.664,336.543,424.437,364.296,303.823,179.272,257.803,165.715,350.806,333.97,286.031,163.705,337.171,237.516,84.0486,199.475,317.083,134.037,156.624,194.581,134.571,104.23,74.5428,273.931,191.776,83.8083,141.532,126.07,175.246,56.5596,177.156,61.9784,112.61,109.971,128.646,68.3542,0,69.0396,0,0,0,0,37.2502,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,52.7755,88.4437,62.4241,35.8664,2.14174,987.92,
9,11/22/16,15:40:47,,353093,337989,326742,321053,307123,304434,284438,272895,255883,256954,201202,34773.2,9058.16,2997.94,1208.4,655.955,354.335,402.277,224.503,379.527,1005.77,891.369,968.358,871.926,788.059,1027.58,1053.92,870.829,19736.4,129021,149819,145737,146158,149836,148903,144599,144256,134389,136906,138303,133671,123341,121785,121934,116886,55633.3,9654.73,3338.99,1316,744.914,389.58,186.377,165.164,102.123,174.134,256.702,384.521,461.635,333.224,493.949,189.938,325.198,323.421,321.714,190.564,236.627,222.66,237.657,206.119,312.966,367.432,323.756,169.254,332.409,168.058,187.936,82.087,68.8984,245.206,135.327,113.908,166.42,82.1895,83.8083,113.226,97.1862,77.6999,95.6768,56.2489,117.544,99.5423,32.1635,65.3161,51.5534,53.4771,99.1172,70.1826,71.3646,35.9836,36.6058,178.587,121.555,38.2592,0,0,0,40.4531,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,29.5109,49.1224,41.1156,21.6739,1.79345,86951.5,
