OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176400715                                            
Config info:
GSC,1.000
LaserDAC,159
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
52,14,2,0,1,0,1,0,0,0,1,0,0,0,0,0,24,0,0,0,3.083,1.398,6.781,8.140,33.142
111,33,15,4,1,1,3,1,1,0,0,0,0,0,0,0,21,27,37,33,3.380,1.382,15.702,20.861,28.177
118,28,14,7,0,1,2,0,0,0,0,0,0,0,0,0,25,31,31,0,3.210,1.387,16.303,20.535,21.419
151,50,27,5,0,1,0,0,0,1,0,0,0,0,0,0,21,25,35,0,3.345,1.387,23.157,28.692,40.992
153,46,21,8,0,0,1,1,1,0,0,0,1,0,0,0,21,25,0,39,3.421,1.387,21.466,27.047,108.313
174,51,32,10,0,0,1,2,1,0,1,0,0,0,0,0,21,25,0,37,3.467,1.387,25.239,32.743,62.570
177,40,27,8,5,0,0,1,0,0,0,0,0,0,0,0,21,24,0,33,3.490,1.387,23.146,29.057,30.596
184,44,19,9,3,1,0,1,1,0,0,0,0,0,0,0,22,25,31,47,3.435,1.387,23.305,28.954,35.135
139,54,19,8,0,2,0,1,1,0,0,0,0,0,0,0,21,26,30,43,3.477,1.381,20.894,26.368,32.508
157,52,28,7,1,0,2,1,1,1,0,0,0,0,0,0,21,25,0,33,3.498,1.387,23.134,30.073,48.385
201,54,28,8,4,1,2,0,0,0,1,0,0,0,0,0,22,25,25,0,3.433,1.387,27.341,34.325,57.512
189,52,40,11,0,2,2,0,0,1,0,0,0,0,0,0,22,24,30,0,3.401,1.387,28.391,36.837,49.765
184,67,37,5,1,2,4,1,1,1,1,0,0,0,0,0,21,25,29,41,3.461,1.387,28.729,38.084,79.499
203,63,31,10,0,3,1,3,0,2,0,0,0,0,0,0,21,25,33,40,3.492,1.386,28.672,37.288,65.340
222,76,40,13,2,5,1,1,0,1,0,0,0,0,0,0,21,24,31,37,3.508,1.382,33.347,43.185,56.995
267,81,25,13,3,3,6,1,1,1,1,0,0,0,0,0,21,25,31,39,3.516,1.387,34.860,45.075,86.648
209,66,35,11,3,1,4,2,0,2,1,0,0,1,0,0,20,23,27,53,3.606,1.386,29.297,38.935,158.587
212,73,30,12,2,2,8,1,0,1,0,0,0,0,0,0,21,23,33,37,3.564,1.386,30.033,40.107,55.847
205,70,31,7,1,2,2,3,1,0,1,0,0,0,0,0,20,24,27,40,3.631,1.387,28.456,36.847,67.095
200,77,24,15,0,2,3,1,1,1,1,0,0,0,0,0,21,26,34,51,3.577,1.386,28.686,37.109,76.872
193,76,37,12,1,1,2,2,0,0,0,0,0,0,0,0,21,25,31,34,3.550,1.382,30.211,39.022,42.614
227,77,37,14,1,2,5,1,2,0,0,1,1,1,0,0,20,24,27,39,3.623,1.387,32.213,42.662,244.310
214,76,37,10,2,0,4,0,0,0,0,2,0,0,0,0,20,25,0,0,3.661,1.386,30.634,39.022,135.030
194,74,41,6,4,2,2,0,2,0,1,0,0,0,0,0,21,25,29,0,3.591,1.387,30.005,39.195,70.227
197,56,31,12,2,1,1,2,2,0,0,1,0,0,0,0,22,26,23,36,3.478,1.387,27.553,36.016,98.167
204,70,32,11,1,7,1,2,0,0,0,0,0,0,0,0,20,24,28,38,3.585,1.386,29.163,37.895,41.423
185,58,25,10,0,1,1,3,1,1,0,0,0,0,0,0,21,22,27,36,3.555,1.382,25.333,32.775,53.266
220,64,30,12,1,2,1,1,1,0,0,0,0,0,0,0,20,23,27,19,3.626,1.387,28.912,36.457,42.709
209,70,24,10,1,0,4,2,1,0,0,0,0,0,0,0,20,23,0,33,3.663,1.387,27.571,35.253,43.613
227,70,34,14,1,3,4,1,0,1,0,0,0,0,0,1,20,23,31,37,3.681,1.387,30.421,39.572,108.773
207,68,36,13,2,0,3,0,0,1,3,0,0,0,0,0,21,22,0,0,3.601,1.386,29.627,38.294,114.464
