DateTime, Status, PartCt, PartCon, BL, BLTH, STD, P, TofP, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,PumpLife_hrs, BL_Start, TH_Mult, nbins, logmin, logmax, Skip_Save, MinPeakPts,MaxPeakPts, RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1540948487.501,1,594,198.04,2009,2027,5.84,1011.45,19.35,3.00,243.00,35.61,527.00,1230.00,-74.06,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,138,99,64,62,47,33,35,13,5,1,1,0,0,0,0,0
1540948488.583,1,688,232.20,2010,2027,5.70,1011.52,19.34,2.96,239.00,35.61,528.00,1230.00,-74.06,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,139,90,64,56,45,37,28,15,6,1,0,1,0,0,0,0
1540948489.501,1,672,226.34,2010,2027,5.78,1011.58,19.35,2.97,239.00,35.51,528.00,1229.00,nan,11.39,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,131,87,74,55,47,46,29,18,13,5,0,0,0,0,0,0
1540948490.502,1,662,220.71,2009,2027,5.93,1011.59,19.35,3.00,240.00,35.56,528.00,1230.00,-74.06,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,138,109,67,57,47,50,31,13,7,1,0,1,0,0,0,0
1540948491.503,1,692,226.12,2009,2026,5.76,1011.52,19.35,3.06,240.00,35.61,529.00,1228.00,nan,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,131,102,76,57,40,48,45,6,8,2,0,0,0,0,0,0
1540948492.502,1,679,220.99,2009,2027,6.03,1011.44,19.34,3.07,240.00,35.61,529.00,1230.00,nan,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,131,104,63,52,47,37,34,21,8,2,1,0,0,0,0,0
1540948493.502,1,671,221.46,2009,2028,6.15,1011.54,19.35,3.03,239.00,35.61,528.00,1229.00,nan,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,118,91,73,65,48,40,29,17,8,0,0,0,0,0,0,0
1540948494.502,1,649,223.64,2010,2027,5.78,1011.54,19.36,2.90,239.00,35.46,528.00,1230.00,nan,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,109,94,66,50,44,38,29,9,5,2,0,0,0,0,0,0
1540948495.502,1,603,204.36,2009,2026,5.77,1011.48,19.35,2.95,240.00,35.61,528.00,1230.00,nan,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,130,98,67,68,52,44,31,18,11,2,0,0,0,0,0,0
1540948496.503,1,703,232.49,2009,2026,5.66,1011.47,19.35,3.02,239.00,35.51,528.00,1229.00,nan,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,153,87,64,72,52,39,38,13,6,1,0,0,0,0,0,0
1540948497.502,1,710,235.75,2009,2026,5.71,1011.58,19.35,3.01,241.00,35.51,527.00,1227.00,nan,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,148,100,65,56,44,46,40,20,6,2,0,0,0,0,0,0
1540948498.502,1,704,236.63,2010,2028,5.83,1011.44,19.35,2.98,239.00,35.61,528.00,1232.00,nan,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,134,98,69,44,47,37,29,13,9,2,1,0,0,0,0,0
1540948499.502,1,665,226.77,2009,2027,5.95,1011.45,19.35,2.93,240.00,35.61,529.00,1231.00,nan,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,165,99,71,51,58,49,34,16,8,4,0,0,0,0,0,0
1540948500.502,1,751,249.37,2008,2026,5.99,1011.56,19.36,3.01,239.00,35.61,528.00,1232.00,-56.86,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,146,86,74,57,55,45,35,21,11,0,1,0,0,0,0,0
1540948501.502,1,736,244.39,2009,2027,5.95,1011.46,19.36,3.01,240.00,35.51,529.00,1227.00,-74.06,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,125,87,72,55,57,54,33,19,14,5,0,0,0,0,0,0
1540948502.503,1,697,241.70,2011,2028,5.84,1011.52,19.36,2.88,239.00,35.61,528.00,1230.00,nan,11.42,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,136,87,73,50,53,36,30,16,4,2,0,0,0,0,0,0
1540948503.502,1,664,231.23,2010,2029,6.28,1011.51,19.36,2.87,240.00,35.56,530.00,1231.00,nan,11.40,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,124,109,83,50,51,31,30,19,7,0,1,0,0,0,0,0
1540948504.502,1,693,234.86,2010,2028,5.98,1011.47,19.34,2.95,240.00,35.61,528.00,1229.00,nan,11.41,2.87,2.85,1071.89,30000,3.0,16,1.60,4.82,0,5,255,512,144,100,65,53,43,44,36,21,12,1,1,0,0,0,0,0
