Sample File,C:\Users\Marduk\Documents\SMPS_data\r20160728_SMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Diameter
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
Date,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16
Start Time,08:38:43,08:41:27,08:44:07,08:46:47,08:49:27,08:52:07,08:54:47,08:57:27,09:00:07,09:02:47,09:05:27,09:08:07,09:10:47,09:13:27,09:16:07,09:18:47,09:21:27,09:24:07,09:26:47,09:29:27,09:32:07,09:34:47,09:37:27,09:40:07,09:42:47,09:45:27,09:48:07,09:50:47,09:53:27,09:56:07,09:58:47,10:01:27,10:04:07,10:06:47,10:09:27,10:12:07,10:14:47,10:17:27,10:20:07,10:22:47,10:25:27,10:28:07,10:30:47,10:33:27,10:36:07,10:38:47,10:41:27,10:44:07,10:46:47,10:49:27,10:52:07,10:54:47,10:57:27,11:00:07,11:02:47,11:05:27,11:08:07,11:10:47,11:13:28,11:16:08,11:18:48,11:21:28,11:24:08,11:26:48,11:29:28,11:32:08,11:34:48,11:37:28,11:40:08,11:42:48,11:45:28,11:48:08,11:50:48,11:53:28,11:56:08,11:58:48,12:01:28,12:04:08,12:06:48,12:09:28,12:12:08,12:14:48,12:17:28,12:20:08,12:22:48,12:25:28,12:28:08,12:30:48,12:33:28,12:36:08,12:38:48,12:41:28,12:44:08,12:46:48,12:49:28,12:52:08,12:54:48,12:57:28,13:00:08,13:02:48,13:05:28,13:08:08,13:10:48,13:13:28,13:16:08,13:18:48,13:21:28,13:24:08,13:26:48,13:29:28,13:32:08,13:34:48,13:37:28,13:40:08,13:42:48,13:45:28,13:48:08,13:50:48,13:53:28,13:56:08,13:58:48,14:01:28,14:04:08,14:06:48,14:09:29,14:12:09,14:14:49,14:17:29,14:20:09,14:22:49,14:25:29,14:28:09,14:30:49,14:33:29,14:36:09,14:38:49,14:41:29,14:44:09,14:46:49,14:49:29,14:52:09,14:54:49,14:57:29,15:00:09,15:02:49,15:05:29,15:08:09,15:10:49,15:13:29,15:16:09,15:18:49,15:21:29,15:24:09,15:26:49,15:29:29,15:32:09,15:34:49,15:37:29,15:40:09,15:42:49,15:45:29,15:48:09,15:50:49,15:53:29,15:56:09,15:58:49,16:01:29,16:04:09,16:06:49,16:09:29,16:12:09,16:14:49,16:17:29
Diameter Midpoint
 20.2,0,0,0,0.522383,0,0,0.610214,0,0,0,0.238075,0.196677,0.184398,0.176426,0.161689,0.167286,0.164342,0.188662,0.176332,0.191414,0.200417,0.213493,0.194859,0.185346,0.201663,0.206355,0.181529,0.174521,0.194146,0.170986,0.179954,0.191775,0.154516,0.147269,0.158687,0.169735,0.189493,0.172338,0.186593,0.176998,0.156574,0.16406,0.151373,0.180432,0.180142,0.142503,0.137623,0.147383,0.153972,0.140645,0.137075,0.118606,0.169512,0.144341,0.158306,0.136941,0.170155,0.134033,0.140708,0.135597,0.151691,0.151749,0.159083,0.163249,0.151718,0.163386,0.153368,0.154191,0.163021,0.169399,0.187056,0.167976,0.196235,0.183062,0.173722,0.180114,0.181588,0.162935,0.144807,0.191038,0.111195,0.150048,0.134323,0.139266,0.150377,0.145529,0.146658,0.148292,0.156347,0.139775,0.12407,0.160811,0.138517,0.133289,0.125285,0.116004,0.122843,0.124418,0.12048,0.140391,0.12057,0.122404,0.130655,0.145074,0.172628,0.14199,0.147367,0.107887,0.124419,0.105852,0.0959675,0.131682,0.105221,0.140512,0.129561,0.125011,0.146325,0.147097,0.139932,0.132426,0.140602,0.129824,0.112057,0.129302,0.154226,0.125579,0.112798,0.120793,0.132999,0.108377,0.11132,0.124588,0.11854,0.118736,0.139736,0.133508,0.127033,0.134194,0.0814186,0.0599323,0.0352712,0.0434861,0.0541158,0.0504237,0.0593835,0.0422672,0.0601516,0.0377716,0.0671911,0.055656,0.0662934,0.0651334,0.0628794,0.0760843,0.0718475,0.0679632,0.0799763,0.058494,0.0698918,0.0566203,0.074352,0.0712439,0.0823122,0.0581646,0.0496279,0.0649453,0.0499103,0.0529947,0.0432315,0.0546958,0.0432981,0.0190131,0.00825433
 20.9,0,0,0,0.475536,0,0,0.572177,0,0,9.25329,0.284083,0.237832,0.252643,0.224723,0.246933,0.216328,0.208209,0.200966,0.224886,0.254116,0.227763,0.269695,0.239731,0.223719,0.218789,0.241779,0.246147,0.208367,0.2087,0.223543,0.214905,0.206549,0.208094,0.22451,0.20039,0.203392,0.220337,0.211798,0.189478,0.216353,0.190815,0.212034,0.211592,0.166115,0.194132,0.186875,0.2061,0.194023,0.181123,0.213526,0.193799,0.184434,0.197346,0.192325,0.215405,0.20764,0.184941,0.203177,0.184288,0.182833,0.148943,0.202438,0.186784,0.221103,0.22504,0.184181,0.21503,0.176519,0.202389,0.20429,0.219242,0.217677,0.221889,0.224207,0.217345,0.208607,0.219,0.220288,0.18294,0.176538,0.176029,0.187599,0.182247,0.1762,0.179239,0.186391,0.162636,0.194155,0.179244,0.180011,0.194126,0.196246,0.171256,0.172869,0.168984,0.149094,0.152091,0.176464,0.173382,0.158865,0.163058,0.163129,0.191528,0.195967,0.193914,0.156804,0.151677,0.169045,0.165045,0.156519,0.162725,0.150381,0.162906,0.158798,0.154537,0.174157,0.175298,0.164284,0.184885,0.180961,0.183981,0.167281,0.148054,0.163504,0.164567,0.13509,0.159516,0.155965,0.171649,0.155167,0.147717,0.180017,0.153697,0.156024,0.162332,0.161777,0.168175,0.148395,0.118702,0.0712354,0.045812,0.0627582,0.0406568,0.047968,0.0652429,0.0683482,0.0650737,0.0760509,0.0707895,0.0667403,0.0821484,0.0831383,0.0897183,0.0861836,0.0895072,0.0906788,0.08819,0.0884627,0.0937786,0.0718885,0.0884012,0.0885228,0.0877901,0.089338,0.0876294,0.0847518,0.0826965,0.0604875,0.0851867,0.0732783,0.0836403,0.0284701,0.0121867
 21.7,0,0,0,0.424695,0,0,0.568837,0,0,25.5244,0.266775,0.271039,0.25492,0.210696,0.246053,0.231776,0.237937,0.233417,0.280814,0.258294,0.274103,0.250273,0.265969,0.294759,0.275963,0.25856,0.226166,0.254829,0.232126,0.213859,0.241085,0.234501,0.234041,0.23248,0.230776,0.198663,0.225772,0.238626,0.197244,0.209723,0.203664,0.21286,0.216682,0.215023,0.223974,0.221388,0.202563,0.212411,0.237845,0.215519,0.221764,0.230667,0.23693,0.214647,0.233757,0.211667,0.249142,0.201297,0.206246,0.219407,0.200636,0.193852,0.218827,0.242835,0.198893,0.232655,0.202974,0.217123,0.211437,0.215391,0.233352,0.233986,0.229952,0.257659,0.246447,0.214544,0.242661,0.235756,0.223587,0.21959,0.181417,0.212235,0.199196,0.208377,0.249154,0.211703,0.220104,0.212848,0.207293,0.195833,0.188133,0.201242,0.204506,0.209026,0.195034,0.204361,0.174348,0.2059,0.193344,0.212933,0.18694,0.213169,0.207498,0.216755,0.225797,0.221121,0.203755,0.174523,0.177486,0.171139,0.177055,0.166444,0.157237,0.187892,0.164215,0.199618,0.174862,0.204222,0.175566,0.210375,0.17823,0.196372,0.185616,0.1953,0.166305,0.194669,0.191376,0.187472,0.194392,0.186615,0.205094,0.182985,0.183792,0.190999,0.183996,0.181889,0.171102,0.177963,0.116194,0.0890889,0.0578694,0.0455256,0.0531455,0.0736669,0.0753378,0.0804444,0.0915218,0.0770775,0.0930796,0.0926017,0.10245,0.114232,0.0936487,0.111537,0.134341,0.122621,0.119962,0.123971,0.113948,0.107393,0.107539,0.11646,0.0970298,0.101378,0.0985366,0.088622,0.0941042,0.0924737,0.0729157,0.105769,0.104146,0.035834,0.00999445
 22.5,0,0,0,0.321978,0,0,0.472389,0,0,28.9328,0.348549,0.302215,0.302883,0.301236,0.27671,0.2592,0.28086,0.280365,0.31167,0.313893,0.32491,0.333019,0.324395,0.29925,0.340405,0.2819,0.290988,0.291311,0.304253,0.277868,0.282947,0.270681,0.280648,0.277658,0.278388,0.269097,0.259901,0.228549,0.239468,0.267808,0.235388,0.247964,0.253375,0.240515,0.248105,0.267252,0.250329,0.242619,0.268284,0.244496,0.253592,0.280304,0.278383,0.305144,0.261894,0.256774,0.253177,0.226577,0.25428,0.25109,0.250216,0.247183,0.262921,0.273424,0.252186,0.26898,0.270995,0.26824,0.280816,0.249047,0.288397,0.292873,0.281429,0.277448,0.284618,0.283418,0.295181,0.273206,0.258576,0.239834,0.234304,0.245577,0.208119,0.265001,0.247746,0.273622,0.240972,0.25252,0.266681,0.255747,0.214496,0.264377,0.272933,0.262026,0.228329,0.21639,0.189109,0.252903,0.20864,0.249579,0.239654,0.277255,0.228644,0.283969,0.264699,0.242011,0.267022,0.210484,0.196239,0.209512,0.195092,0.216583,0.209864,0.219041,0.204683,0.228094,0.221232,0.247049,0.239671,0.24351,0.231492,0.233059,0.222826,0.222416,0.221938,0.219766,0.225779,0.228383,0.235101,0.230663,0.205252,0.217853,0.247468,0.240125,0.23003,0.218479,0.233345,0.219629,0.140362,0.102938,0.0583393,0.0734902,0.0633546,0.0763263,0.0959805,0.1004,0.10617,0.126548,0.111087,0.128635,0.14186,0.137296,0.110277,0.146412,0.16757,0.140745,0.126028,0.135774,0.126995,0.161772,0.159302,0.145333,0.134758,0.128506,0.124469,0.114201,0.0971053,0.124845,0.108641,0.111873,0.119854,0.051491,0.016625
 23.3,0,0,0,0.248095,0,0,0.46491,0,0,29.6765,0.478354,0.410846,0.377293,0.344942,0.303057,0.321233,0.319748,0.312039,0.32862,0.402724,0.40528,0.388902,0.390682,0.397406,0.376738,0.385625,0.389507,0.354718,0.353531,0.341352,0.33569,0.335066,0.324525,0.310865,0.299117,0.327322,0.340015,0.304206,0.284828,0.304434,0.313494,0.286999,0.280258,0.313976,0.30324,0.315878,0.328016,0.327106,0.282003,0.326178,0.325306,0.319537,0.337692,0.329332,0.345416,0.307898,0.294535,0.326703,0.2889,0.294837,0.280289,0.303331,0.364655,0.352347,0.353282,0.336803,0.303511,0.304434,0.362005,0.34906,0.362839,0.373759,0.362059,0.349788,0.376649,0.383485,0.340165,0.324679,0.351414,0.285926,0.289055,0.336633,0.317107,0.278387,0.304178,0.323977,0.30861,0.319557,0.312602,0.30818,0.285457,0.302903,0.27756,0.325795,0.276622,0.234572,0.223947,0.262475,0.312632,0.273709,0.290325,0.31248,0.312652,0.326875,0.318822,0.313081,0.314929,0.236505,0.267278,0.261174,0.248917,0.232569,0.277327,0.235272,0.282302,0.270915,0.29351,0.282967,0.280979,0.288626,0.297113,0.283738,0.281222,0.254115,0.271475,0.268959,0.25727,0.242415,0.257386,0.293601,0.258223,0.270646,0.284698,0.272568,0.281744,0.281521,0.292354,0.252447,0.179489,0.117041,0.0760773,0.0815514,0.104639,0.0949325,0.110441,0.112865,0.151494,0.161082,0.151639,0.153358,0.150069,0.185993,0.156051,0.177866,0.181122,0.171359,0.160121,0.179879,0.184537,0.169158,0.192621,0.170662,0.180553,0.17973,0.162061,0.150647,0.143816,0.147868,0.156393,0.123774,0.109776,0.0541302,0.021006
 24.1,0,0,0,0.189259,0,0,0.406451,0,0,29.9249,0.520677,0.500249,0.486753,0.431659,0.389442,0.400538,0.380488,0.364432,0.45859,0.486346,0.489614,0.466176,0.471564,0.458075,0.459566,0.443753,0.449496,0.463257,0.446804,0.429354,0.411622,0.408829,0.413447,0.40197,0.390192,0.388069,0.396799,0.367687,0.406286,0.370392,0.34241,0.382173,0.340841,0.377773,0.383239,0.386564,0.412774,0.409186,0.378271,0.389032,0.349651,0.347698,0.380812,0.420288,0.415501,0.398398,0.402757,0.391136,0.377265,0.341836,0.33972,0.370767,0.412402,0.450596,0.424128,0.392284,0.414586,0.403217,0.416031,0.427471,0.426213,0.466153,0.435103,0.447792,0.46205,0.473115,0.430397,0.401119,0.407738,0.360839,0.358939,0.344184,0.35745,0.339985,0.382997,0.400138,0.367646,0.356716,0.383029,0.429402,0.368613,0.338798,0.403294,0.379987,0.381126,0.346941,0.259779,0.340809,0.304966,0.33996,0.354579,0.382235,0.390619,0.387367,0.370532,0.405209,0.393192,0.351053,0.310434,0.288574,0.302852,0.296821,0.331715,0.371593,0.313288,0.351194,0.393654,0.337607,0.333792,0.327315,0.359883,0.335656,0.354945,0.332754,0.349953,0.32283,0.337806,0.31885,0.299575,0.355368,0.328719,0.320312,0.328898,0.325195,0.330819,0.342947,0.336372,0.329241,0.197943,0.12399,0.111994,0.092044,0.11282,0.128834,0.165567,0.155497,0.174126,0.182149,0.185758,0.182176,0.20842,0.196999,0.199823,0.239973,0.213358,0.239811,0.218115,0.223522,0.250023,0.229896,0.238994,0.213882,0.251168,0.229443,0.193355,0.190579,0.176769,0.188559,0.16358,0.160895,0.147321,0.063524,0.031953
 25.0,0,0,0,0.152625,0,0,0.380753,0,0,30.1067,0.650754,0.600073,0.618084,0.538477,0.510195,0.510196,0.536849,0.49833,0.547042,0.626552,0.620927,0.555241,0.553618,0.573516,0.602171,0.575021,0.545631,0.51033,0.545008,0.526976,0.485698,0.521686,0.516588,0.493152,0.450666,0.513633,0.481886,0.458189,0.456011,0.482205,0.479457,0.418427,0.425289,0.416636,0.48009,0.466108,0.505119,0.477984,0.486739,0.474492,0.451769,0.472612,0.523942,0.517937,0.491849,0.44165,0.488166,0.447683,0.439371,0.458502,0.458177,0.459162,0.546073,0.517685,0.487925,0.459587,0.486834,0.510442,0.492722,0.525644,0.560284,0.593764,0.537448,0.55026,0.586462,0.550545,0.56836,0.545916,0.510549,0.479132,0.498264,0.456263,0.470709,0.466953,0.490539,0.532147,0.488754,0.486593,0.514499,0.523573,0.442444,0.456874,0.446244,0.480818,0.41986,0.387733,0.401776,0.418791,0.448836,0.424053,0.382326,0.49008,0.488491,0.490478,0.536547,0.490511,0.497485,0.455194,0.41357,0.384941,0.395468,0.380312,0.399946,0.386015,0.454394,0.449865,0.43852,0.479787,0.430142,0.456929,0.436741,0.419479,0.447296,0.41302,0.404457,0.396693,0.436243,0.406326,0.399134,0.380261,0.41766,0.386094,0.452172,0.4395,0.439287,0.432532,0.441969,0.414034,0.281636,0.176664,0.120728,0.133612,0.140037,0.144997,0.166523,0.197619,0.192677,0.226427,0.241545,0.241035,0.251961,0.255801,0.26283,0.275211,0.321268,0.261392,0.268489,0.281401,0.253069,0.279929,0.27038,0.32485,0.267627,0.28861,0.248714,0.235998,0.246358,0.225811,0.197776,0.209844,0.208444,0.0788116,0.0405729
