Sample File,C:\Users\Marduk\Documents\SMPS_data\r20160728_SMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Surface
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
Date,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16
Start Time,08:38:43,08:41:27,08:44:07,08:46:47,08:49:27,08:52:07,08:54:47,08:57:27,09:00:07,09:02:47,09:05:27,09:08:07,09:10:47,09:13:27,09:16:07,09:18:47,09:21:27,09:24:07,09:26:47,09:29:27,09:32:07,09:34:47,09:37:27,09:40:07,09:42:47,09:45:27,09:48:07,09:50:47,09:53:27,09:56:07,09:58:47,10:01:27,10:04:07,10:06:47,10:09:27,10:12:07,10:14:47,10:17:27,10:20:07,10:22:47,10:25:27,10:28:07,10:30:47,10:33:27,10:36:07,10:38:47,10:41:27,10:44:07,10:46:47,10:49:27,10:52:07,10:54:47,10:57:27,11:00:07,11:02:47,11:05:27,11:08:07,11:10:47,11:13:28,11:16:08,11:18:48,11:21:28,11:24:08,11:26:48,11:29:28,11:32:08,11:34:48,11:37:28,11:40:08,11:42:48,11:45:28,11:48:08,11:50:48,11:53:28,11:56:08,11:58:48,12:01:28,12:04:08,12:06:48,12:09:28,12:12:08,12:14:48,12:17:28,12:20:08,12:22:48,12:25:28,12:28:08,12:30:48,12:33:28,12:36:08,12:38:48,12:41:28,12:44:08,12:46:48,12:49:28,12:52:08,12:54:48,12:57:28,13:00:08,13:02:48,13:05:28,13:08:08,13:10:48,13:13:28,13:16:08,13:18:48,13:21:28,13:24:08,13:26:48,13:29:28,13:32:08,13:34:48,13:37:28,13:40:08,13:42:48,13:45:28,13:48:08,13:50:48,13:53:28,13:56:08,13:58:48,14:01:28,14:04:08,14:06:48,14:09:29,14:12:09,14:14:49,14:17:29,14:20:09,14:22:49,14:25:29,14:28:09,14:30:49,14:33:29,14:36:09,14:38:49,14:41:29,14:44:09,14:46:49,14:49:29,14:52:09,14:54:49,14:57:29,15:00:09,15:02:49,15:05:29,15:08:09,15:10:49,15:13:29,15:16:09,15:18:49,15:21:29,15:24:09,15:26:49,15:29:29,15:32:09,15:34:49,15:37:29,15:40:09,15:42:49,15:45:29,15:48:09,15:50:49,15:53:29,15:56:09,15:58:49,16:01:29,16:04:09,16:06:49,16:09:29,16:12:09,16:14:49,16:17:29
Diameter Midpoint
 20.2,0,0,0,3.30999e+007,0,0,3.86651e+007,0,0,0,1.50852e+007,1.24621e+007,1.16841e+007,1.11789e+007,1.02451e+007,1.05998e+007,1.04132e+007,1.19543e+007,1.1173e+007,1.21286e+007,1.26991e+007,1.35276e+007,1.23469e+007,1.17441e+007,1.2778e+007,1.30753e+007,1.15023e+007,1.10582e+007,1.23017e+007,1.08342e+007,1.14024e+007,1.21515e+007,9.79065e+006,9.33146e+006,1.00549e+007,1.0755e+007,1.20069e+007,1.09199e+007,1.18231e+007,1.12152e+007,9.92104e+006,1.03954e+007,9.59148e+006,1.14327e+007,1.14144e+007,9.02946e+006,8.72026e+006,9.33863e+006,9.75614e+006,8.91174e+006,8.68549e+006,7.51527e+006,1.07408e+007,9.14592e+006,1.00308e+007,8.67705e+006,1.07816e+007,8.49277e+006,8.9157e+006,8.59186e+006,9.61161e+006,9.61531e+006,1.008e+007,1.0344e+007,9.61333e+006,1.03527e+007,9.7179e+006,9.77004e+006,1.03295e+007,1.07336e+007,1.18524e+007,1.06435e+007,1.24341e+007,1.15994e+007,1.10076e+007,1.14126e+007,1.1506e+007,1.03241e+007,9.17546e+006,1.21048e+007,7.04565e+006,9.50752e+006,8.51115e+006,8.82431e+006,9.5284e+006,9.22121e+006,9.29273e+006,9.39626e+006,9.90662e+006,8.85662e+006,7.86148e+006,1.01895e+007,8.77688e+006,8.4456e+006,7.93846e+006,7.35038e+006,7.78373e+006,7.88356e+006,7.63399e+006,8.89561e+006,7.63971e+006,7.75594e+006,8.2787e+006,9.19238e+006,1.09383e+007,8.99693e+006,9.33766e+006,6.83606e+006,7.88359e+006,6.70713e+006,6.08081e+006,8.34379e+006,6.66717e+006,8.9033e+006,8.20942e+006,7.92109e+006,9.27163e+006,9.32052e+006,8.86655e+006,8.39096e+006,8.90902e+006,8.22607e+006,7.10029e+006,8.19302e+006,9.77228e+006,7.95709e+006,7.14724e+006,7.65386e+006,8.42723e+006,6.86709e+006,7.05361e+006,7.89427e+006,7.51105e+006,7.52348e+006,8.85412e+006,8.4595e+006,8.04923e+006,8.50297e+006,5.15895e+006,3.7975e+006,2.2349e+006,2.75542e+006,3.42895e+006,3.19501e+006,3.76273e+006,2.67818e+006,3.8114e+006,2.39333e+006,4.25744e+006,3.52654e+006,4.20056e+006,4.12706e+006,3.98424e+006,4.82095e+006,4.55249e+006,4.30637e+006,5.06756e+006,3.70637e+006,4.42857e+006,3.58764e+006,4.71118e+006,4.51425e+006,5.21557e+006,3.6855e+006,3.14459e+006,4.11515e+006,3.16247e+006,3.35792e+006,2.73929e+006,3.4657e+006,2.74351e+006,1.20473e+006,523021
 20.9,0,0,0,3.12353e+007,0,0,3.75831e+007,0,0,6.07797e+008,1.86598e+007,1.56219e+007,1.65947e+007,1.47608e+007,1.62197e+007,1.42094e+007,1.36761e+007,1.32003e+007,1.47715e+007,1.66914e+007,1.49604e+007,1.77147e+007,1.57466e+007,1.46948e+007,1.4371e+007,1.58811e+007,1.61681e+007,1.36864e+007,1.37083e+007,1.46833e+007,1.41159e+007,1.35671e+007,1.36685e+007,1.47468e+007,1.31625e+007,1.33597e+007,1.44727e+007,1.39118e+007,1.24458e+007,1.4211e+007,1.25336e+007,1.39273e+007,1.38983e+007,1.09111e+007,1.27514e+007,1.22748e+007,1.35376e+007,1.27443e+007,1.18969e+007,1.40253e+007,1.27296e+007,1.21144e+007,1.29626e+007,1.26328e+007,1.41488e+007,1.36387e+007,1.21478e+007,1.33455e+007,1.21049e+007,1.20093e+007,9.78325e+006,1.3297e+007,1.22688e+007,1.4523e+007,1.47816e+007,1.20978e+007,1.41241e+007,1.15945e+007,1.32938e+007,1.34186e+007,1.44008e+007,1.4298e+007,1.45746e+007,1.47269e+007,1.42761e+007,1.37022e+007,1.43849e+007,1.44695e+007,1.20163e+007,1.15958e+007,1.15624e+007,1.23223e+007,1.19708e+007,1.15736e+007,1.17732e+007,1.2243e+007,1.06826e+007,1.2753e+007,1.17735e+007,1.18239e+007,1.27511e+007,1.28903e+007,1.12488e+007,1.13548e+007,1.10996e+007,9.79317e+006,9.98998e+006,1.15909e+007,1.13885e+007,1.04349e+007,1.07104e+007,1.07151e+007,1.25804e+007,1.2872e+007,1.27371e+007,1.02996e+007,9.96279e+006,1.11036e+007,1.08409e+007,1.02808e+007,1.06885e+007,9.87766e+006,1.07004e+007,1.04305e+007,1.01507e+007,1.14394e+007,1.15143e+007,1.07909e+007,1.21441e+007,1.18863e+007,1.20847e+007,1.09877e+007,9.72484e+006,1.07397e+007,1.08095e+007,8.8733e+006,1.04777e+007,1.02445e+007,1.12746e+007,1.0192e+007,9.70271e+006,1.18243e+007,1.00955e+007,1.02483e+007,1.06627e+007,1.06263e+007,1.10465e+007,9.74725e+006,7.79684e+006,4.67906e+006,3.00914e+006,4.12223e+006,2.67052e+006,3.15075e+006,4.28544e+006,4.48941e+006,4.27433e+006,4.99536e+006,4.64976e+006,4.3838e+006,5.39587e+006,5.46089e+006,5.8931e+006,5.66092e+006,5.87923e+006,5.95618e+006,5.79271e+006,5.81062e+006,6.15979e+006,4.72195e+006,5.80658e+006,5.81457e+006,5.76644e+006,5.86811e+006,5.75589e+006,5.56687e+006,5.43187e+006,3.97309e+006,5.59544e+006,4.81324e+006,5.49386e+006,1.87004e+006,800476
 21.7,0,0,0,2.89178e+007,0,0,3.87324e+007,0,0,1.73797e+009,1.81649e+007,1.84552e+007,1.73577e+007,1.43464e+007,1.67539e+007,1.57818e+007,1.62013e+007,1.58935e+007,1.91208e+007,1.75874e+007,1.86639e+007,1.70413e+007,1.811e+007,2.00703e+007,1.87905e+007,1.76055e+007,1.53998e+007,1.73515e+007,1.58056e+007,1.45618e+007,1.64156e+007,1.59673e+007,1.5936e+007,1.58297e+007,1.57137e+007,1.35271e+007,1.5373e+007,1.62482e+007,1.34305e+007,1.42801e+007,1.38676e+007,1.44938e+007,1.4754e+007,1.4641e+007,1.52505e+007,1.50744e+007,1.37926e+007,1.44632e+007,1.6195e+007,1.46748e+007,1.51e+007,1.57063e+007,1.61327e+007,1.46154e+007,1.59167e+007,1.44125e+007,1.69642e+007,1.37064e+007,1.40435e+007,1.49396e+007,1.36615e+007,1.31995e+007,1.49001e+007,1.65348e+007,1.35427e+007,1.58416e+007,1.38206e+007,1.47841e+007,1.43969e+007,1.46661e+007,1.58891e+007,1.59323e+007,1.56576e+007,1.75442e+007,1.67807e+007,1.46085e+007,1.65229e+007,1.60528e+007,1.52242e+007,1.4952e+007,1.23528e+007,1.44512e+007,1.35634e+007,1.41885e+007,1.6965e+007,1.4415e+007,1.4987e+007,1.4493e+007,1.41147e+007,1.33344e+007,1.28101e+007,1.37027e+007,1.39249e+007,1.42327e+007,1.328e+007,1.3915e+007,1.18715e+007,1.40198e+007,1.31649e+007,1.44987e+007,1.27289e+007,1.45148e+007,1.41287e+007,1.4759e+007,1.53747e+007,1.50563e+007,1.38738e+007,1.18834e+007,1.20851e+007,1.16529e+007,1.20558e+007,1.13332e+007,1.07064e+007,1.27937e+007,1.11815e+007,1.35921e+007,1.19065e+007,1.39056e+007,1.19544e+007,1.43246e+007,1.21358e+007,1.33711e+007,1.26387e+007,1.32981e+007,1.13238e+007,1.32551e+007,1.30309e+007,1.27651e+007,1.32363e+007,1.27067e+007,1.3965e+007,1.24596e+007,1.25145e+007,1.30053e+007,1.25284e+007,1.23849e+007,1.16504e+007,1.21176e+007,7.91173e+006,6.06612e+006,3.94036e+006,3.09986e+006,3.61871e+006,5.01603e+006,5.1298e+006,5.47751e+006,6.23178e+006,5.24826e+006,6.33784e+006,6.30531e+006,6.9759e+006,7.77812e+006,6.3766e+006,7.59459e+006,9.14737e+006,8.34935e+006,8.16831e+006,8.44126e+006,7.75877e+006,7.31244e+006,7.32238e+006,7.92986e+006,6.60682e+006,6.90289e+006,6.70942e+006,6.03433e+006,6.40761e+006,6.29659e+006,4.96488e+006,7.20191e+006,7.09138e+006,2.43996e+006,680529
 22.5,0,0,0,2.27268e+007,0,0,3.33436e+007,0,0,2.04222e+009,2.46023e+007,2.13319e+007,2.1379e+007,2.12628e+007,1.95316e+007,1.82956e+007,1.98245e+007,1.97896e+007,2.19992e+007,2.21561e+007,2.29338e+007,2.35062e+007,2.28974e+007,2.11226e+007,2.40275e+007,1.98979e+007,2.05394e+007,2.05621e+007,2.14757e+007,1.96133e+007,1.99718e+007,1.9106e+007,1.98096e+007,1.95985e+007,1.965e+007,1.89942e+007,1.83451e+007,1.61321e+007,1.69028e+007,1.89032e+007,1.66148e+007,1.75025e+007,1.78844e+007,1.69768e+007,1.75125e+007,1.88639e+007,1.76694e+007,1.71252e+007,1.89368e+007,1.72577e+007,1.78998e+007,1.97853e+007,1.96497e+007,2.15386e+007,1.84858e+007,1.81244e+007,1.78705e+007,1.59929e+007,1.79483e+007,1.77232e+007,1.76615e+007,1.74474e+007,1.85583e+007,1.92997e+007,1.78005e+007,1.89859e+007,1.91282e+007,1.89337e+007,1.98214e+007,1.7579e+007,2.03565e+007,2.06724e+007,1.98647e+007,1.95837e+007,2.00898e+007,2.00051e+007,2.08354e+007,1.92842e+007,1.82516e+007,1.69287e+007,1.65383e+007,1.7334e+007,1.46901e+007,1.87051e+007,1.74872e+007,1.93136e+007,1.7009e+007,1.78242e+007,1.88237e+007,1.80519e+007,1.51402e+007,1.8661e+007,1.9265e+007,1.84951e+007,1.61166e+007,1.52739e+007,1.33483e+007,1.78512e+007,1.47268e+007,1.76166e+007,1.6916e+007,1.957e+007,1.61388e+007,2.00439e+007,1.86838e+007,1.70824e+007,1.88477e+007,1.4857e+007,1.38515e+007,1.47884e+007,1.37706e+007,1.52875e+007,1.48132e+007,1.5461e+007,1.44475e+007,1.61e+007,1.56157e+007,1.74379e+007,1.69171e+007,1.71881e+007,1.63398e+007,1.64505e+007,1.57282e+007,1.56992e+007,1.56655e+007,1.55121e+007,1.59366e+007,1.61204e+007,1.65946e+007,1.62813e+007,1.44877e+007,1.53771e+007,1.74676e+007,1.69492e+007,1.62367e+007,1.54213e+007,1.64706e+007,1.55025e+007,9.90744e+006,7.26587e+006,4.11788e+006,5.18731e+006,4.47189e+006,5.38749e+006,6.77478e+006,7.08672e+006,7.49398e+006,8.93236e+006,7.8411e+006,9.07967e+006,1.00132e+007,9.69103e+006,7.78392e+006,1.03345e+007,1.18279e+007,9.93448e+006,8.89571e+006,9.58358e+006,8.96391e+006,1.14187e+007,1.12444e+007,1.02583e+007,9.51188e+006,9.07056e+006,8.78566e+006,8.06091e+006,6.85418e+006,8.81217e+006,7.66846e+006,7.89657e+006,8.45987e+006,3.63449e+006,1.17348e+006
 23.3,0,0,0,1.81533e+007,0,0,3.40178e+007,0,0,2.17145e+009,3.50015e+007,3.00619e+007,2.76068e+007,2.52397e+007,2.21749e+007,2.35049e+007,2.33962e+007,2.28321e+007,2.40454e+007,2.94676e+007,2.96546e+007,2.84562e+007,2.85865e+007,2.90785e+007,2.75662e+007,2.82165e+007,2.85005e+007,2.59549e+007,2.58681e+007,2.49769e+007,2.45626e+007,2.4517e+007,2.37457e+007,2.27462e+007,2.18866e+007,2.39504e+007,2.48792e+007,2.22589e+007,2.08411e+007,2.22756e+007,2.29386e+007,2.09999e+007,2.05067e+007,2.29738e+007,2.21883e+007,2.3113e+007,2.40012e+007,2.39345e+007,2.06344e+007,2.38667e+007,2.38028e+007,2.33807e+007,2.47092e+007,2.40975e+007,2.52744e+007,2.25291e+007,2.15513e+007,2.39051e+007,2.11391e+007,2.15734e+007,2.05089e+007,2.2195e+007,2.66821e+007,2.57815e+007,2.58499e+007,2.46441e+007,2.22081e+007,2.22756e+007,2.64882e+007,2.5541e+007,2.65492e+007,2.73482e+007,2.64921e+007,2.55942e+007,2.75597e+007,2.80599e+007,2.48901e+007,2.3757e+007,2.57132e+007,2.09214e+007,2.11503e+007,2.46317e+007,2.3203e+007,2.03698e+007,2.22569e+007,2.37056e+007,2.25812e+007,2.33822e+007,2.28733e+007,2.25497e+007,2.08871e+007,2.21636e+007,2.03093e+007,2.38387e+007,2.02406e+007,1.71638e+007,1.63864e+007,1.92055e+007,2.28755e+007,2.00275e+007,2.12433e+007,2.28644e+007,2.2877e+007,2.39177e+007,2.33284e+007,2.29083e+007,2.30436e+007,1.73052e+007,1.95569e+007,1.91103e+007,1.82134e+007,1.70173e+007,2.02922e+007,1.7215e+007,2.06563e+007,1.9823e+007,2.14763e+007,2.07049e+007,2.05594e+007,2.1119e+007,2.174e+007,2.07613e+007,2.05772e+007,1.85938e+007,1.9864e+007,1.96799e+007,1.88246e+007,1.77377e+007,1.88331e+007,2.1483e+007,1.88944e+007,1.98034e+007,2.08316e+007,1.9944e+007,2.06154e+007,2.05991e+007,2.13917e+007,1.84717e+007,1.31333e+007,8.564e+006,5.56663e+006,5.96717e+006,7.65654e+006,6.94628e+006,8.08106e+006,8.25842e+006,1.10849e+007,1.17865e+007,1.10955e+007,1.12213e+007,1.09807e+007,1.36092e+007,1.14184e+007,1.30146e+007,1.32528e+007,1.25385e+007,1.17162e+007,1.31619e+007,1.35027e+007,1.23774e+007,1.40942e+007,1.24875e+007,1.32112e+007,1.31509e+007,1.18581e+007,1.1023e+007,1.05231e+007,1.08196e+007,1.14434e+007,9.05661e+006,8.03242e+006,3.96074e+006,1.53702e+006
 24.1,0,0,0,1.43555e+007,0,0,3.08298e+007,0,0,2.26984e+009,3.9494e+007,3.79445e+007,3.69208e+007,3.27418e+007,2.95396e+007,3.03813e+007,2.88604e+007,2.76426e+007,3.47846e+007,3.68899e+007,3.71378e+007,3.536e+007,3.57687e+007,3.47455e+007,3.48586e+007,3.36592e+007,3.40948e+007,3.51386e+007,3.38906e+007,3.2567e+007,3.1222e+007,3.10102e+007,3.13604e+007,3.04899e+007,2.95965e+007,2.94355e+007,3.00977e+007,2.78895e+007,3.08173e+007,2.80947e+007,2.59722e+007,2.89883e+007,2.58532e+007,2.86545e+007,2.90691e+007,2.93214e+007,3.13094e+007,3.10372e+007,2.86923e+007,2.95085e+007,2.65214e+007,2.63733e+007,2.88851e+007,3.18793e+007,3.15162e+007,3.02189e+007,3.05496e+007,2.96681e+007,2.8616e+007,2.59286e+007,2.57682e+007,2.81231e+007,3.12811e+007,3.41782e+007,3.21706e+007,2.97552e+007,3.14468e+007,3.05845e+007,3.15565e+007,3.24242e+007,3.23288e+007,3.53582e+007,3.30031e+007,3.39656e+007,3.5047e+007,3.58863e+007,3.26461e+007,3.04254e+007,3.09274e+007,2.73701e+007,2.72259e+007,2.61068e+007,2.7113e+007,2.57883e+007,2.90507e+007,3.0351e+007,2.78863e+007,2.70573e+007,2.90532e+007,3.25706e+007,2.79597e+007,2.56983e+007,3.05904e+007,2.88224e+007,2.89088e+007,2.63158e+007,1.97046e+007,2.58508e+007,2.3132e+007,2.57864e+007,2.68953e+007,2.8993e+007,2.96289e+007,2.93823e+007,2.81053e+007,3.07356e+007,2.98241e+007,2.66278e+007,2.35468e+007,2.18887e+007,2.29717e+007,2.25142e+007,2.5161e+007,2.81858e+007,2.37633e+007,2.66385e+007,2.98591e+007,2.56079e+007,2.53185e+007,2.48272e+007,2.72976e+007,2.54599e+007,2.6923e+007,2.52398e+007,2.65443e+007,2.4487e+007,2.5623e+007,2.41852e+007,2.27231e+007,2.69551e+007,2.49337e+007,2.4296e+007,2.49473e+007,2.46664e+007,2.5093e+007,2.6013e+007,2.55142e+007,2.49733e+007,1.50142e+007,9.4048e+006,8.4949e+006,6.98165e+006,8.55753e+006,9.77222e+006,1.25585e+007,1.17946e+007,1.32076e+007,1.38162e+007,1.40899e+007,1.38183e+007,1.58089e+007,1.49426e+007,1.51568e+007,1.82023e+007,1.61835e+007,1.81899e+007,1.65443e+007,1.69544e+007,1.89645e+007,1.74379e+007,1.8128e+007,1.62232e+007,1.90514e+007,1.74035e+007,1.46662e+007,1.44556e+007,1.34082e+007,1.43024e+007,1.24077e+007,1.22041e+007,1.11745e+007,4.81837e+006,2.42367e+006
 25.0,0,0,0,1.20009e+007,0,0,2.99386e+007,0,0,2.36729e+009,5.11686e+007,4.71836e+007,4.85999e+007,4.23404e+007,4.01166e+007,4.01166e+007,4.22123e+007,3.91836e+007,4.30138e+007,4.92657e+007,4.88234e+007,4.36585e+007,4.35308e+007,4.50954e+007,4.73486e+007,4.52138e+007,4.29028e+007,4.01271e+007,4.28539e+007,4.1436e+007,3.81903e+007,4.10201e+007,4.06192e+007,3.87765e+007,3.54358e+007,4.03869e+007,3.78906e+007,3.60273e+007,3.5856e+007,3.79157e+007,3.76996e+007,3.29008e+007,3.34404e+007,3.276e+007,3.77494e+007,3.665e+007,3.97174e+007,3.75838e+007,3.82722e+007,3.73093e+007,3.55225e+007,3.71614e+007,4.11975e+007,4.07253e+007,3.8674e+007,3.47268e+007,3.83844e+007,3.52013e+007,3.45477e+007,3.60519e+007,3.60264e+007,3.61038e+007,4.29376e+007,4.07055e+007,3.83655e+007,3.61373e+007,3.82797e+007,4.0136e+007,3.87426e+007,4.13313e+007,4.4055e+007,4.66876e+007,4.22595e+007,4.32668e+007,4.61134e+007,4.32893e+007,4.469e+007,4.29253e+007,4.01444e+007,3.76741e+007,3.91784e+007,3.58759e+007,3.70118e+007,3.67165e+007,3.8571e+007,4.18426e+007,3.84306e+007,3.82607e+007,4.0455e+007,4.11684e+007,3.47893e+007,3.59239e+007,3.50881e+007,3.78066e+007,3.30135e+007,3.04874e+007,3.15916e+007,3.29295e+007,3.52919e+007,3.33432e+007,3.00622e+007,3.85349e+007,3.84099e+007,3.85662e+007,4.21886e+007,3.85688e+007,3.91172e+007,3.57918e+007,3.25189e+007,3.02678e+007,3.10955e+007,2.99038e+007,3.14477e+007,3.03523e+007,3.57289e+007,3.53728e+007,3.44808e+007,3.77256e+007,3.3822e+007,3.59282e+007,3.43409e+007,3.29836e+007,3.51708e+007,3.24757e+007,3.18024e+007,3.11919e+007,3.43017e+007,3.19494e+007,3.13838e+007,2.98998e+007,3.28405e+007,3.03585e+007,3.55542e+007,3.45578e+007,3.45411e+007,3.40099e+007,3.47519e+007,3.25554e+007,2.2145e+007,1.38911e+007,9.4928e+006,1.05059e+007,1.10111e+007,1.1401e+007,1.30937e+007,1.55388e+007,1.51502e+007,1.78039e+007,1.89926e+007,1.89526e+007,1.98116e+007,2.01136e+007,2.06663e+007,2.16398e+007,2.52613e+007,2.05532e+007,2.11112e+007,2.21265e+007,1.98988e+007,2.20107e+007,2.126e+007,2.55429e+007,2.10434e+007,2.26933e+007,1.95564e+007,1.85565e+007,1.93711e+007,1.77555e+007,1.55511e+007,1.65e+007,1.63899e+007,6.19694e+006,3.19024e+006
