Sample File,C:\Users\Marduk\Documents\SMPS_data\r20160728_SMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Volume
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
Date,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16,07/28/16
Start Time,08:38:43,08:41:27,08:44:07,08:46:47,08:49:27,08:52:07,08:54:47,08:57:27,09:00:07,09:02:47,09:05:27,09:08:07,09:10:47,09:13:27,09:16:07,09:18:47,09:21:27,09:24:07,09:26:47,09:29:27,09:32:07,09:34:47,09:37:27,09:40:07,09:42:47,09:45:27,09:48:07,09:50:47,09:53:27,09:56:07,09:58:47,10:01:27,10:04:07,10:06:47,10:09:27,10:12:07,10:14:47,10:17:27,10:20:07,10:22:47,10:25:27,10:28:07,10:30:47,10:33:27,10:36:07,10:38:47,10:41:27,10:44:07,10:46:47,10:49:27,10:52:07,10:54:47,10:57:27,11:00:07,11:02:47,11:05:27,11:08:07,11:10:47,11:13:28,11:16:08,11:18:48,11:21:28,11:24:08,11:26:48,11:29:28,11:32:08,11:34:48,11:37:28,11:40:08,11:42:48,11:45:28,11:48:08,11:50:48,11:53:28,11:56:08,11:58:48,12:01:28,12:04:08,12:06:48,12:09:28,12:12:08,12:14:48,12:17:28,12:20:08,12:22:48,12:25:28,12:28:08,12:30:48,12:33:28,12:36:08,12:38:48,12:41:28,12:44:08,12:46:48,12:49:28,12:52:08,12:54:48,12:57:28,13:00:08,13:02:48,13:05:28,13:08:08,13:10:48,13:13:28,13:16:08,13:18:48,13:21:28,13:24:08,13:26:48,13:29:28,13:32:08,13:34:48,13:37:28,13:40:08,13:42:48,13:45:28,13:48:08,13:50:48,13:53:28,13:56:08,13:58:48,14:01:28,14:04:08,14:06:48,14:09:29,14:12:09,14:14:49,14:17:29,14:20:09,14:22:49,14:25:29,14:28:09,14:30:49,14:33:29,14:36:09,14:38:49,14:41:29,14:44:09,14:46:49,14:49:29,14:52:09,14:54:49,14:57:29,15:00:09,15:02:49,15:05:29,15:08:09,15:10:49,15:13:29,15:16:09,15:18:49,15:21:29,15:24:09,15:26:49,15:29:29,15:32:09,15:34:49,15:37:29,15:40:09,15:42:49,15:45:29,15:48:09,15:50:49,15:53:29,15:56:09,15:58:49,16:01:29,16:04:09,16:06:49,16:09:29,16:12:09,16:14:49,16:17:29
Diameter Midpoint
 20.2,0,0,0,1.11266e+008,0,0,1.29974e+008,0,0,0,5.07092e+007,4.18917e+007,3.92763e+007,3.75782e+007,3.44393e+007,3.56314e+007,3.50044e+007,4.01845e+007,3.75582e+007,4.07706e+007,4.26883e+007,4.54733e+007,4.15044e+007,3.94782e+007,4.29537e+007,4.39529e+007,3.86652e+007,3.71724e+007,4.13525e+007,3.64194e+007,3.83296e+007,4.08474e+007,3.29115e+007,3.13679e+007,3.37998e+007,3.61531e+007,4.03615e+007,3.67075e+007,3.97437e+007,3.77001e+007,3.33498e+007,3.49444e+007,3.2242e+007,3.84314e+007,3.83696e+007,3.03528e+007,2.93134e+007,3.1392e+007,3.27955e+007,2.9957e+007,2.91965e+007,2.52628e+007,3.61055e+007,3.07442e+007,3.37188e+007,2.91681e+007,3.62425e+007,2.85487e+007,2.99704e+007,2.88817e+007,3.23096e+007,3.23221e+007,3.38841e+007,3.47715e+007,3.23154e+007,3.48007e+007,3.26669e+007,3.28422e+007,3.4723e+007,3.60814e+007,3.98423e+007,3.57784e+007,4.17974e+007,3.89916e+007,3.70022e+007,3.83637e+007,3.86777e+007,3.47047e+007,3.08435e+007,4.06905e+007,2.36841e+007,3.19598e+007,2.86104e+007,2.96631e+007,3.20299e+007,3.09973e+007,3.12377e+007,3.15858e+007,3.33013e+007,2.97717e+007,2.64266e+007,3.42522e+007,2.95037e+007,2.83901e+007,2.66853e+007,2.47085e+007,2.61652e+007,2.65008e+007,2.56619e+007,2.99028e+007,2.56811e+007,2.60718e+007,2.7829e+007,3.09004e+007,3.67693e+007,3.02434e+007,3.13888e+007,2.29796e+007,2.65009e+007,2.25462e+007,2.04408e+007,2.80479e+007,2.24119e+007,2.99287e+007,2.75962e+007,2.66269e+007,3.11668e+007,3.13311e+007,2.98051e+007,2.82064e+007,2.99479e+007,2.76521e+007,2.38678e+007,2.7541e+007,3.28498e+007,2.6748e+007,2.40256e+007,2.57287e+007,2.83283e+007,2.30839e+007,2.37109e+007,2.65368e+007,2.52486e+007,2.52904e+007,2.97633e+007,2.84368e+007,2.70577e+007,2.85829e+007,1.73419e+007,1.27654e+007,7.51267e+006,9.26241e+006,1.15265e+007,1.07401e+007,1.26485e+007,9.00278e+006,1.28121e+007,8.04524e+006,1.43115e+007,1.18546e+007,1.41203e+007,1.38732e+007,1.33931e+007,1.62057e+007,1.53033e+007,1.4476e+007,1.70347e+007,1.24591e+007,1.48867e+007,1.206e+007,1.58368e+007,1.51747e+007,1.75323e+007,1.23889e+007,1.05706e+007,1.38332e+007,1.06307e+007,1.12877e+007,9.20817e+006,1.165e+007,9.22236e+006,4.04974e+006,1.75815e+006
 20.9,0,0,0,1.08845e+008,0,0,1.30965e+008,0,0,2.11797e+009,6.50234e+007,5.4437e+007,5.78271e+007,5.14364e+007,5.65201e+007,4.9515e+007,4.76565e+007,4.59988e+007,5.14739e+007,5.81641e+007,5.21322e+007,6.17299e+007,5.48716e+007,5.12066e+007,5.00782e+007,5.53405e+007,5.63403e+007,4.76927e+007,4.77689e+007,5.11663e+007,4.91892e+007,4.72767e+007,4.76303e+007,5.13878e+007,4.58669e+007,4.6554e+007,5.04325e+007,4.84781e+007,4.33694e+007,4.95207e+007,4.36754e+007,4.85321e+007,4.8431e+007,3.80217e+007,4.44345e+007,4.27735e+007,4.71739e+007,4.44095e+007,4.14569e+007,4.88736e+007,4.43583e+007,4.22147e+007,4.51702e+007,4.4021e+007,4.93037e+007,4.75263e+007,4.23309e+007,4.65047e+007,4.21814e+007,4.18483e+007,3.40914e+007,4.63358e+007,4.27527e+007,5.06079e+007,5.15091e+007,4.21568e+007,4.9218e+007,4.0403e+007,4.63246e+007,4.67595e+007,5.01819e+007,4.98238e+007,5.07877e+007,5.13183e+007,4.97476e+007,4.77477e+007,5.01265e+007,5.04213e+007,4.18729e+007,4.04075e+007,4.0291e+007,4.29393e+007,4.17142e+007,4.03301e+007,4.10258e+007,4.26628e+007,3.72254e+007,4.44399e+007,4.10268e+007,4.12025e+007,4.44332e+007,4.49183e+007,3.91984e+007,3.95677e+007,3.86784e+007,3.41259e+007,3.48118e+007,4.03905e+007,3.96852e+007,3.63623e+007,3.73221e+007,3.73384e+007,4.38386e+007,4.48547e+007,4.43845e+007,3.58906e+007,3.4717e+007,3.86925e+007,3.77769e+007,3.58253e+007,3.72459e+007,3.44204e+007,3.72872e+007,3.63469e+007,3.53718e+007,3.98625e+007,4.01236e+007,3.76027e+007,4.23181e+007,4.14198e+007,4.21111e+007,3.82886e+007,3.38878e+007,3.74242e+007,3.76674e+007,3.09205e+007,3.65114e+007,3.56986e+007,3.92884e+007,3.55158e+007,3.38107e+007,4.12037e+007,3.51795e+007,3.5712e+007,3.7156e+007,3.7029e+007,3.84934e+007,3.39659e+007,2.71694e+007,1.6305e+007,1.04858e+007,1.43646e+007,9.30587e+006,1.09793e+007,1.49333e+007,1.56441e+007,1.48946e+007,1.74071e+007,1.62029e+007,1.52761e+007,1.88028e+007,1.90294e+007,2.05355e+007,1.97264e+007,2.04871e+007,2.07553e+007,2.01857e+007,2.02481e+007,2.14648e+007,1.64544e+007,2.0234e+007,2.02618e+007,2.00941e+007,2.04484e+007,2.00573e+007,1.93987e+007,1.89283e+007,1.38449e+007,1.94982e+007,1.67725e+007,1.91443e+007,6.51648e+006,2.78939e+006
 21.7,0,0,0,1.0446e+008,0,0,1.39914e+008,0,0,6.27811e+009,6.56173e+007,6.66661e+007,6.27015e+007,5.1824e+007,6.05205e+007,5.70088e+007,5.85241e+007,5.74125e+007,6.90706e+007,6.35313e+007,6.74198e+007,6.15585e+007,6.5419e+007,7.25005e+007,6.78772e+007,6.35968e+007,5.56289e+007,6.2679e+007,5.7095e+007,5.26018e+007,5.92985e+007,5.76791e+007,5.75658e+007,5.71819e+007,5.67628e+007,4.88641e+007,5.55321e+007,5.86937e+007,4.85152e+007,5.15845e+007,5.00943e+007,5.23561e+007,5.32962e+007,5.28881e+007,5.50898e+007,5.44537e+007,4.98233e+007,5.22457e+007,5.85017e+007,5.30101e+007,5.45461e+007,5.67361e+007,5.82766e+007,5.27956e+007,5.7496e+007,5.20627e+007,6.12803e+007,4.9512e+007,5.07294e+007,5.39665e+007,4.93495e+007,4.76808e+007,5.38238e+007,5.97291e+007,4.89207e+007,5.72251e+007,4.99246e+007,5.34048e+007,5.2006e+007,5.29787e+007,5.73964e+007,5.75525e+007,5.65602e+007,6.33752e+007,6.06173e+007,5.27704e+007,5.9686e+007,5.79877e+007,5.49946e+007,5.40114e+007,4.46223e+007,5.22025e+007,4.89952e+007,5.12534e+007,6.12831e+007,5.20715e+007,5.41378e+007,5.23533e+007,5.09868e+007,4.8168e+007,4.62741e+007,4.94984e+007,5.03014e+007,5.14131e+007,4.79715e+007,5.02656e+007,4.28836e+007,5.06442e+007,4.7556e+007,5.2374e+007,4.59807e+007,5.24322e+007,5.10373e+007,5.33143e+007,5.55383e+007,5.43881e+007,5.01167e+007,4.29267e+007,4.36553e+007,4.20941e+007,4.35493e+007,4.09393e+007,3.86748e+007,4.62148e+007,4.03912e+007,4.90991e+007,4.301e+007,5.02316e+007,4.31831e+007,5.1745e+007,4.38383e+007,4.83007e+007,4.5655e+007,4.8037e+007,4.09052e+007,4.78818e+007,4.70717e+007,4.61117e+007,4.78137e+007,4.59007e+007,5.04459e+007,4.5008e+007,4.52064e+007,4.69792e+007,4.52566e+007,4.47382e+007,4.20851e+007,4.37727e+007,2.85797e+007,2.19128e+007,1.42338e+007,1.11977e+007,1.30719e+007,1.81195e+007,1.85305e+007,1.97865e+007,2.25112e+007,1.89584e+007,2.28943e+007,2.27768e+007,2.51992e+007,2.80971e+007,2.30343e+007,2.74341e+007,3.30432e+007,3.01605e+007,2.95066e+007,3.04926e+007,2.80272e+007,2.64149e+007,2.64508e+007,2.86452e+007,2.38659e+007,2.49355e+007,2.42366e+007,2.17979e+007,2.31463e+007,2.27453e+007,1.79347e+007,2.60156e+007,2.56163e+007,8.81392e+006,2.45829e+006
 22.5,0,0,0,8.51041e+007,0,0,1.2486e+008,0,0,7.64741e+009,9.21271e+007,7.98803e+007,8.0057e+007,7.96216e+007,7.3139e+007,6.85107e+007,7.42359e+007,7.4105e+007,8.23793e+007,8.2967e+007,8.58789e+007,8.80224e+007,8.57428e+007,7.90966e+007,8.99746e+007,7.45107e+007,7.69129e+007,7.69981e+007,8.04189e+007,7.34449e+007,7.47875e+007,7.15452e+007,7.41799e+007,7.33894e+007,7.35825e+007,7.11267e+007,6.8696e+007,6.04091e+007,6.32952e+007,7.07859e+007,6.22167e+007,6.55408e+007,6.6971e+007,6.3572e+007,6.55782e+007,7.06389e+007,6.61659e+007,6.41281e+007,7.09118e+007,6.46242e+007,6.70284e+007,7.40889e+007,7.35811e+007,8.06543e+007,6.92228e+007,6.78695e+007,6.69188e+007,5.9888e+007,6.72103e+007,6.63672e+007,6.61362e+007,6.53345e+007,6.94943e+007,7.22705e+007,6.66567e+007,7.10957e+007,7.16284e+007,7.09002e+007,7.42242e+007,6.58272e+007,7.62279e+007,7.7411e+007,7.43862e+007,7.3334e+007,7.52292e+007,7.4912e+007,7.80211e+007,7.22127e+007,6.83457e+007,6.3392e+007,6.19302e+007,6.49099e+007,5.50092e+007,7.0044e+007,6.54834e+007,7.23226e+007,6.36927e+007,6.67452e+007,7.04881e+007,6.7598e+007,5.66948e+007,6.9879e+007,7.21407e+007,6.92578e+007,6.03511e+007,5.71954e+007,4.99846e+007,6.68464e+007,5.51468e+007,6.59679e+007,6.33443e+007,7.32829e+007,6.04343e+007,7.50575e+007,6.99642e+007,6.39675e+007,7.05781e+007,5.56343e+007,5.1869e+007,5.53775e+007,5.15659e+007,5.72464e+007,5.54704e+007,5.78959e+007,5.4101e+007,6.02888e+007,5.84753e+007,6.52989e+007,6.33488e+007,6.43635e+007,6.1187e+007,6.16013e+007,5.88965e+007,5.87881e+007,5.86617e+007,5.80876e+007,5.96769e+007,6.03653e+007,6.2141e+007,6.09679e+007,5.42513e+007,5.7582e+007,6.54099e+007,6.34689e+007,6.08007e+007,5.77475e+007,6.16767e+007,5.80515e+007,3.70999e+007,2.72081e+007,1.542e+007,1.94246e+007,1.67457e+007,2.01743e+007,2.53692e+007,2.65373e+007,2.80623e+007,3.34486e+007,2.93622e+007,3.40002e+007,3.74959e+007,3.62895e+007,2.91481e+007,3.8699e+007,4.42913e+007,3.72011e+007,3.33113e+007,3.58872e+007,3.35667e+007,4.27591e+007,4.21062e+007,3.84139e+007,3.56187e+007,3.39661e+007,3.28992e+007,3.01853e+007,2.56665e+007,3.29985e+007,2.87157e+007,2.95699e+007,3.16793e+007,1.36099e+007,4.39426e+006
 23.3,0,0,0,7.04679e+007,0,0,1.32051e+008,0,0,8.42921e+009,1.3587e+008,1.16695e+008,1.07165e+008,9.7976e+007,8.60791e+007,9.12419e+007,9.08198e+007,8.86303e+007,9.334e+007,1.14388e+008,1.15114e+008,1.10462e+008,1.10968e+008,1.12878e+008,1.07007e+008,1.09532e+008,1.10634e+008,1.00753e+008,1.00415e+008,9.69562e+007,9.5348e+007,9.51708e+007,9.21767e+007,8.82967e+007,8.496e+007,9.29712e+007,9.65766e+007,8.64054e+007,8.09015e+007,8.64702e+007,8.90436e+007,8.1518e+007,7.96035e+007,8.91805e+007,8.6131e+007,8.97207e+007,9.31684e+007,9.29098e+007,8.00991e+007,9.26464e+007,9.23986e+007,9.076e+007,9.59168e+007,9.35423e+007,9.81107e+007,8.74541e+007,8.36585e+007,9.27954e+007,8.20582e+007,8.37443e+007,7.96122e+007,8.6157e+007,1.03575e+008,1.00079e+008,1.00345e+008,9.56642e+007,8.62081e+007,8.64702e+007,1.02823e+008,9.91457e+007,1.03059e+008,1.06161e+008,1.02838e+008,9.93524e+007,1.06982e+008,1.08924e+008,9.66191e+007,9.22205e+007,9.98142e+007,8.12134e+007,8.2102e+007,9.56158e+007,9.007e+007,7.9072e+007,8.63974e+007,9.20212e+007,8.76564e+007,9.07657e+007,8.87901e+007,8.75342e+007,8.108e+007,8.60352e+007,7.88371e+007,9.25376e+007,7.85707e+007,6.6627e+007,6.36091e+007,7.45525e+007,8.87988e+007,7.77432e+007,8.24628e+007,8.87556e+007,8.88045e+007,9.28443e+007,9.05569e+007,8.89262e+007,8.94513e+007,6.71759e+007,7.59167e+007,7.41829e+007,7.07015e+007,6.60581e+007,7.87709e+007,6.68258e+007,8.01841e+007,7.69495e+007,8.33674e+007,8.03729e+007,7.98081e+007,8.19803e+007,8.43908e+007,8.05917e+007,7.98773e+007,7.21779e+007,7.71086e+007,7.63941e+007,7.30739e+007,6.88547e+007,7.31069e+007,8.33934e+007,7.33446e+007,7.68732e+007,8.08646e+007,7.74191e+007,8.00255e+007,7.99622e+007,8.3039e+007,7.1704e+007,5.09813e+007,3.3244e+007,2.16087e+007,2.31635e+007,2.97214e+007,2.69643e+007,3.13693e+007,3.20578e+007,4.30298e+007,4.57531e+007,4.30709e+007,4.35592e+007,4.26251e+007,5.28286e+007,4.43242e+007,5.05203e+007,5.14452e+007,4.86722e+007,4.54801e+007,5.10922e+007,5.24153e+007,4.8047e+007,5.47114e+007,4.84742e+007,5.12837e+007,5.10497e+007,4.60311e+007,4.27893e+007,4.08489e+007,4.2e+007,4.44213e+007,3.51562e+007,3.11805e+007,1.53749e+007,5.96646e+006
 24.1,0,0,0,5.77671e+007,0,0,1.2406e+008,0,0,9.13391e+009,1.58925e+008,1.5269e+008,1.4857e+008,1.31754e+008,1.18868e+008,1.22255e+008,1.16135e+008,1.11235e+008,1.39974e+008,1.48446e+008,1.49444e+008,1.4229e+008,1.43934e+008,1.39817e+008,1.40272e+008,1.35446e+008,1.37198e+008,1.41399e+008,1.36377e+008,1.3105e+008,1.25638e+008,1.24786e+008,1.26195e+008,1.22692e+008,1.19097e+008,1.18449e+008,1.21114e+008,1.12228e+008,1.2401e+008,1.13054e+008,1.04513e+008,1.1665e+008,1.04034e+008,1.15307e+008,1.16975e+008,1.1799e+008,1.2599e+008,1.24895e+008,1.15459e+008,1.18743e+008,1.06723e+008,1.06127e+008,1.16234e+008,1.28283e+008,1.26822e+008,1.21602e+008,1.22932e+008,1.19386e+008,1.15152e+008,1.04338e+008,1.03692e+008,1.13168e+008,1.25876e+008,1.37534e+008,1.29455e+008,1.19736e+008,1.26543e+008,1.23073e+008,1.26984e+008,1.30476e+008,1.30092e+008,1.42283e+008,1.32805e+008,1.36678e+008,1.4103e+008,1.44408e+008,1.31369e+008,1.22433e+008,1.24453e+008,1.10138e+008,1.09558e+008,1.05055e+008,1.09103e+008,1.03773e+008,1.16901e+008,1.22133e+008,1.12216e+008,1.08879e+008,1.16911e+008,1.31065e+008,1.12511e+008,1.03411e+008,1.23097e+008,1.15982e+008,1.1633e+008,1.05896e+008,7.92918e+007,1.04024e+008,9.30838e+007,1.03765e+008,1.08227e+008,1.16669e+008,1.19228e+008,1.18235e+008,1.13096e+008,1.23681e+008,1.20013e+008,1.07151e+008,9.47529e+007,8.80807e+007,9.24388e+007,9.05979e+007,1.01249e+008,1.1342e+008,9.56242e+007,1.07194e+008,1.20154e+008,1.03047e+008,1.01882e+008,9.99055e+007,1.09846e+008,1.02451e+008,1.08339e+008,1.01566e+008,1.06815e+008,9.85365e+007,1.03108e+008,9.73219e+007,9.14384e+007,1.08468e+008,1.00334e+008,9.7768e+007,1.00389e+008,9.92584e+007,1.00975e+008,1.04677e+008,1.0267e+008,1.00493e+008,6.04177e+007,3.78452e+007,3.41837e+007,2.80944e+007,3.44357e+007,3.93237e+007,5.05357e+007,4.7462e+007,5.31479e+007,5.55967e+007,5.66983e+007,5.56051e+007,6.36156e+007,6.01294e+007,6.09915e+007,7.32464e+007,6.51228e+007,7.31968e+007,6.65748e+007,6.82251e+007,7.63138e+007,7.01706e+007,7.29476e+007,6.52826e+007,7.66635e+007,7.00324e+007,5.90174e+007,5.81699e+007,5.39549e+007,5.75535e+007,4.9929e+007,4.91095e+007,4.49663e+007,1.93893e+007,9.75292e+006
 25.0,0,0,0,5.0061e+007,0,0,1.24887e+008,0,0,9.875e+009,2.13447e+008,1.96824e+008,2.02732e+008,1.7662e+008,1.67344e+008,1.67344e+008,1.76086e+008,1.63452e+008,1.7943e+008,2.05509e+008,2.03664e+008,1.82119e+008,1.81586e+008,1.88113e+008,1.97512e+008,1.88607e+008,1.78967e+008,1.67388e+008,1.78763e+008,1.72848e+008,1.59309e+008,1.71113e+008,1.69441e+008,1.61754e+008,1.47818e+008,1.68471e+008,1.58058e+008,1.50286e+008,1.49571e+008,1.58163e+008,1.57262e+008,1.37244e+008,1.39495e+008,1.36657e+008,1.57469e+008,1.52883e+008,1.65679e+008,1.56779e+008,1.5965e+008,1.55633e+008,1.4818e+008,1.55017e+008,1.71853e+008,1.69883e+008,1.61326e+008,1.44861e+008,1.60118e+008,1.4684e+008,1.44114e+008,1.50389e+008,1.50282e+008,1.50605e+008,1.79112e+008,1.698e+008,1.60039e+008,1.50744e+008,1.59681e+008,1.67425e+008,1.61613e+008,1.72411e+008,1.83773e+008,1.94755e+008,1.76283e+008,1.80485e+008,1.92359e+008,1.80579e+008,1.86422e+008,1.7906e+008,1.6746e+008,1.57155e+008,1.6343e+008,1.49654e+008,1.54393e+008,1.53161e+008,1.60897e+008,1.74544e+008,1.60311e+008,1.59602e+008,1.68756e+008,1.71732e+008,1.45122e+008,1.49854e+008,1.46368e+008,1.57708e+008,1.37714e+008,1.27176e+008,1.31783e+008,1.37363e+008,1.47218e+008,1.39089e+008,1.25403e+008,1.60746e+008,1.60225e+008,1.60877e+008,1.75987e+008,1.60887e+008,1.63175e+008,1.49304e+008,1.35651e+008,1.2626e+008,1.29713e+008,1.24742e+008,1.31182e+008,1.26613e+008,1.49041e+008,1.47556e+008,1.43835e+008,1.5737e+008,1.41086e+008,1.49873e+008,1.43251e+008,1.37589e+008,1.46713e+008,1.35471e+008,1.32662e+008,1.30115e+008,1.43088e+008,1.33275e+008,1.30916e+008,1.24725e+008,1.36992e+008,1.26639e+008,1.48312e+008,1.44156e+008,1.44086e+008,1.4187e+008,1.44966e+008,1.35803e+008,9.23765e+007,5.79457e+007,3.95987e+007,4.38247e+007,4.59322e+007,4.75588e+007,5.46195e+007,6.48191e+007,6.3198e+007,7.42681e+007,7.92266e+007,7.90596e+007,8.26431e+007,8.39026e+007,8.62083e+007,9.02693e+007,1.05376e+008,8.57365e+007,8.80642e+007,9.22995e+007,8.30067e+007,9.18165e+007,8.86847e+007,1.06551e+008,8.77815e+007,9.4664e+007,8.15782e+007,7.74073e+007,8.08054e+007,7.40661e+007,6.48705e+007,6.88286e+007,6.83696e+007,2.58502e+007,1.33079e+007
